Name,Rating,Reviews,Phone,Website,Address,City,Yelp URL
"Dental TLC","4.3","346","(404) 255-2273","http://www.dentaltlc.com","290 Hilderbrand Dr NE Ste A9 Atlanta, GA 30328","Atlanta","https://www.yelp.com/biz/dental-tlc-atlanta"
"Brookhaven Dental Associates","4.2","148","","","","Atlanta","https://www.yelp.com/biz/brookhaven-dental-associates-atlanta"
"Heart of Vinings Dentistry","4.5","145","","","","Atlanta","https://www.yelp.com/biz/heart-of-vinings-dentistry-atlanta"
"Atlanta Dental Spa","4.4","145","","","","Buckhead","https://www.yelp.com/biz/atlanta-dental-spa-atlanta"
"David McNay, DDS","4.8","140","","","","Atlanta","https://www.yelp.com/biz/david-mcnay-dds-atlanta"
"Tend Dental Ponce City Market","4","109","","","","Atlanta","https://www.yelp.com/biz/tend-dental-ponce-city-market-atlanta"
"Modern Dental","4.3","96","(404) 589-0900","http://www.moderndentalga.com","545 Edgewood Ave SE Atlanta, GA 30312","Old Fourth Ward","https://www.yelp.com/biz/modern-dental-atlanta"
"Inman Park Dentistry","4.2","90","(404) 589-7799","http://www.inmanparkdentistry.com","245 N Highland Ave NE Ste 260 Atlanta, GA 30307","Inman Park","https://www.yelp.com/biz/inman-park-dentistry-atlanta"
"Blue Creek Dental","4.5","73","","","","Decatur","https://www.yelp.com/biz/blue-creek-dental-decatur"
"Executive Park Dentistry","4.4","67","","","","Atlanta","https://www.yelp.com/biz/executive-park-dentistry-atlanta"
