name,category,city,state,rating,review_count,yelp_url
"David McNay, DDS",Dental,Atlanta,GA,4.8,140,https://www.yelp.com/biz/david-mcnay-dds-atlanta
Dentique,Dental,Atlanta,GA,4.6,26,https://www.yelp.com/biz/dentique-atlanta
Atlanta Dental Spa,Dental,Atlanta,GA,4.8,34,https://www.yelp.com/biz/atlanta-dental-spa-atlanta-8
"Executive Park Dentistry",Dental,Atlanta,GA,4.4,67,https://www.yelp.com/biz/executive-park-dentistry-atlanta
"Yi-Tsu Cheng, DDS & Associates",Dental,Atlanta,GA,4.7,59,https://www.yelp.com/biz/yi-tsu-cheng-dds-and-associates-atlanta
Inman Park Dentistry,Dental,Atlanta,GA,4.2,90,https://www.yelp.com/biz/inman-park-dentistry-atlanta
MidCity Dentistry,Dental,Atlanta,GA,4.3,29,https://www.yelp.com/biz/midcity-dentistry-atlanta
Atlanta Medical Aesthetics,Med Spa,Atlanta,GA,4.7,59,https://www.yelp.com/biz/atlanta-medical-aesthetics-atlanta
Radiance Medspa,Med Spa,Atlanta,GA,4.8,48,https://www.yelp.com/biz/radiance-medspa-atlanta
"Artisan Beaute'",Med Spa,Atlanta,GA,4.8,51,https://www.yelp.com/biz/artisan-beaute-atlanta
AYA Medical Spa Decatur,Med Spa,Atlanta,GA,5.0,23,https://www.yelp.com/biz/aya-medical-spa-decatur-decatur-2
4Ever Young Anti Aging Solutions,Med Spa,Atlanta,GA,4.8,12,https://www.yelp.com/biz/4ever-young-anti-aging-solutions-atlanta
WIFH,Med Spa,Atlanta,GA,4.6,94,https://www.yelp.com/biz/wifh-atlanta
dermani MEDSPA Buckhead,Med Spa,Atlanta,GA,4.3,62,https://www.yelp.com/biz/dermani-medspa-atlanta-2
Ranka Skin Med Spa,Med Spa,Atlanta,GA,5.0,9,https://www.yelp.com/biz/ranka-skin-med-spa-dunwoody
CULT Aesthetics,Med Spa,Atlanta,GA,5.0,25,https://www.yelp.com/biz/cult-aesthetics-sandy-springs-2
Casa Bembé,Restaurant,Atlanta,GA,4.9,15,https://www.yelp.com/biz/casa-bembe-atlanta
The Hungry Peach,Restaurant,Atlanta,GA,4.5,74,https://www.yelp.com/biz/the-hungry-peach-atlanta-2
Authentic Hand Pulled Noodle House,Restaurant,Atlanta,GA,4.8,12,https://www.yelp.com/biz/authentic-hand-pulled-noodle-house-decatur
Solo Motorsports - Downtown,Auto Dealer,Atlanta,GA,4.6,12,https://www.yelp.com/biz/solo-motorsports-downtown-atlanta
Decatur Auto Sales,Auto Dealer,Atlanta,GA,4.3,6,https://www.yelp.com/biz/decatur-auto-sales-decatur-3
Central Auto Sales,Auto Dealer,Atlanta,GA,5.0,4,https://www.yelp.com/biz/central-auto-sales-decatur
Buckhead Imports,Auto Dealer,Atlanta,GA,4.3,44,https://www.yelp.com/biz/buckhead-imports-atlanta
BMVW Auto Sales,Auto Dealer,Atlanta,GA,3.9,42,https://www.yelp.com/biz/bmvw-auto-sales-union-city
Hola Auto Sales,Auto Dealer,Atlanta,GA,3.3,7,https://www.yelp.com/biz/hola-auto-sales-atlanta-2
